Year,Month,County,Rainfall (mm)
2015,January,Cardiff,175.7
2015,January,Swansea,227.9
2015,January,Newport,157.2
2015,January,Wrexham,194.4
2015,January,Flintshire,139.0
2015,January,Denbighshire,151.7
2015,January,Gwynedd,217.0
2015,January,Conwy,107.6
2015,January,Powys,152.4
2015,January,Carmarthenshire,216.1
2015,January,Pembrokeshire,107.3
2015,January,Ceredigion,216.3
2015,February,Cardiff,163.1
2015,February,Swansea,245.0
2015,February,Newport,114.1
2015,February,Wrexham,156.3
2015,February,Flintshire,78.3
2015,February,Denbighshire,77.5
2015,February,Gwynedd,156.3
2015,February,Conwy,187.0
2015,February,Powys,243.6
2015,February,Carmarthenshire,132.2
2015,February,Pembrokeshire,158.3
2015,February,Ceredigion,73.7
2015,March,Cardiff,209.4
2015,March,Swansea,197.6
2015,March,Newport,171.0
2015,March,Wrexham,204.3
2015,March,Flintshire,90.4
2015,March,Denbighshire,189.4
2015,March,Gwynedd,220.6
2015,March,Conwy,81.9
2015,March,Powys,185.5
2015,March,Carmarthenshire,249.6
2015,March,Pembrokeshire,81.5
2015,March,Ceredigion,175.9
2015,April,Cardiff,116.1
2015,April,Swansea,106.4
2015,April,Newport,181.4
2015,April,Wrexham,240.6
2015,April,Flintshire,135.0
2015,April,Denbighshire,166.4
2015,April,Gwynedd,75.4
2015,April,Conwy,78.9
2015,April,Powys,93.0
2015,April,Carmarthenshire,125.0
2015,April,Pembrokeshire,117.6
2015,April,Ceredigion,135.6
2015,May,Cardiff,198.4
2015,May,Swansea,249.0
2015,May,Newport,104.7
2015,May,Wrexham,138.6
2015,May,Flintshire,77.9
2015,May,Denbighshire,218.4
2015,May,Gwynedd,144.0
2015,May,Conwy,219.0
2015,May,Powys,158.2
2015,May,Carmarthenshire,135.7
2015,May,Pembrokeshire,140.1
2015,May,Ceredigion,242.2
2015,June,Cardiff,116.7
2015,June,Swansea,152.6
2015,June,Newport,94.8
2015,June,Wrexham,111.1
2015,June,Flintshire,223.7
2015,June,Denbighshire,118.0
