Person,Safe for Vaccine,Faith in Vac-Jab1,Faith in Vac-Jab2
1,Yes,Yes,Yes
2,Yes,Yes,No
3,Yes,No,Yes
4,No,Yes,No
5,No,No,Yes
6,No,Yes,Yes
7,Yes,No,No
8,No,No,No
9,No,No,Yes
10,No,Yes,Yes
11,Yes,No,No
12,No,No,No
13,Yes,Yes,Yes
14,Yes,Yes,No
15,Yes,Yes,Yes
16,Yes,Yes,No
17,Yes,Yes,Yes
18,Yes,Yes,No
19,Yes,No,Yes
20,No,Yes,No
21,No,No,Yes
22,No,Yes,Yes
23,Yes,No,No
24,No,No,No
25,No,Yes,No
26,No,No,Yes
27,No,Yes,Yes
28,Yes,No,No
29,No,No,No
30,No,No,Yes
31,No,Yes,Yes
32,Yes,No,No
33,No,No,Yes
34,No,Yes,Yes
35,Yes,No,No
36,No,No,No
37,No,Yes,No
38,No,No,Yes
39,No,Yes,Yes
40,Yes,No,No
41,No,No,No
42,No,No,Yes
43,No,Yes,Yes
44,No,No,Yes
45,Yes,No,No
46,No,No,No
47,No,No,Yes
48,No,Yes,Yes
49,Yes,No,No
50,Yes,Yes,Yes
